ID,iso3,alloc_key,cell5m,x,y,"bean, common",cacao,cassava,chick pea,coconut,coffee arabica,coffee robusta,cowpea,groundnut,lentil,maize,pearl millet,pigeon pea,plantain bananas,potato,sesame seed,sorghum (med. altitude),soyabean,sugar beet,sunflower,sweet potato,tea,tobacco,"wheat, common"
1,KEN,10272572,4434891,34.29166667,4.458333333,0.37142849,0,0,0,0,0,0,0,0,0.063846149,0.229310334,0.088281244,0,0,0,0,0.106451586,0,0,0,0,0,0,0
2,KEN,10282571,4439210,34.20833333,4.375,0.421428531,0,0,0,0,0,0,0,0,0.061538462,0.212068945,0.080468744,0,0,0,0,0.090322554,0,0,0,0,0,0,0
3,KEN,10282601,4439240,36.70833333,4.375,0.115384616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,KEN,10282602,4439241,36.79166667,4.375,0.064102568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,KEN,10292570,4443529,34.125,4.291666666,0.43589744,0,0,0,0,0,0,0,0,0.061538462,0.241379306,0.09375,0,0,0,0,0.161290318,0,0,0,0,0,0,0
6,KEN,10292605,4443564,37.04166667,4.291666666,0.282051295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,KEN,10302569,4447848,34.04166667,4.208333333,0.507692397,0,0,0,0,0,0,0,0,0.184615389,0.482758611,0.203125,0.222222224,0,0.084745765,0.050000053,0.419354826,0,0,0,0,0,0,0.103896104
8,KEN,10302605,4447884,37.04166667,4.208333333,0.205128208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KEN,10302649,4447928,40.70833333,4.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,KEN,10302650,4447929,40.79166667,4.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,KEN,10312601,4452200,36.70833333,4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
